victims,date,type_of_attack,location,notes,name,age,sex,country
"Zachariah Delventhal, 11, male",August 1996,Predatory,"Algonquin Provincial Park, Ontario, Canada","A wolf attacked and severely injured a boy who was sleeping outside with his family at a campsite. The family had earlier joined a group of Scouts in howling for wolves, which had been answered by a solitary wolf. Officials subsequently baited the campsite and a wolf was captured and destroyed.",male,NA,male,Canada
"Patricia Wyman, 24, female","April 18, 1996",Captive,"Haliburton Forest, Ontario, Canada","A pack of wolves fatally mauled a new caretaker at a privately owned wildlife reserve. The wolves were killed the following day. Though they had been raised in captivity, they were never socialized with people.",Patricia Wyman,NA,NA,Canada
"Patricia Wyman, 24, female","April 18, 1996",Captive,"Haliburton Forest, Ontario, Canada","A pack of wolves fatally mauled a new caretaker at a privately owned wildlife reserve. The wolves were killed the following day. Though they had been raised in captivity, they were never socialized with people.",NA,NA,NA,Canada
"Patricia Wyman, 24, female","April 18, 1996",Captive,"Haliburton Forest, Ontario, Canada","A pack of wolves fatally mauled a new caretaker at a privately owned wildlife reserve. The wolves were killed the following day. Though they had been raised in captivity, they were never socialized with people.",female,NA,female,Canada
60 children,March 1996,NA,"Uttar Pradesh, India",A pack of wolves killed around 60 children in Uttar Pradesh near the Ganges river basin over the course of 3–9 months.,NA,child,NA,India
"Michael Amosov, 60, male","February 21, 1996",Predatory,"Hamlet of Bolonitza, Zadrach, Belarus","Wolves were suspected in the presumed death of a man, whose footprints ended in bloody snow surrounded by wolf tracks.",Michael Amosov,NA,NA,Belarus
"Michael Amosov, 60, male","February 21, 1996",Predatory,"Hamlet of Bolonitza, Zadrach, Belarus","Wolves were suspected in the presumed death of a man, whose footprints ended in bloody snow surrounded by wolf tracks.",NA,NA,NA,Belarus
"Michael Amosov, 60, male","February 21, 1996",Predatory,"Hamlet of Bolonitza, Zadrach, Belarus","Wolves were suspected in the presumed death of a man, whose footprints ended in bloody snow surrounded by wolf tracks.",male,NA,male,Belarus
Adult female,December 1995,Predatory,"Hvoschono, Belarus","A wolf or wolves were suspected in the death of a woodcutter, whose remains were found surrounded by wolf tracks.",Adult female,NA,female,Belarus
"Girl, nine",December 1995,Predatory,"Usviatyda, Belarus",A wolf or wolves were suspected in the death of a girl whose body was surrounded by wolf tracks.,Girl,NA,NA,Belarus
"Girl, nine",December 1995,Predatory,"Usviatyda, Belarus",A wolf or wolves were suspected in the death of a girl whose body was surrounded by wolf tracks.,nine,NA,NA,Belarus
Adult female and three men,October 1995,Rabid,"Village south of Voronezh, Russia","A wolf fatally bit a woman in a cornfield, then bit three men in separate attacks.",Adult female,NA,female,Russia
Adult female and three men,October 1995,Rabid,"Village south of Voronezh, Russia","A wolf fatally bit a woman in a cornfield, then bit three men in separate attacks.",three men,NA,NA,Russia
60 children,April 1993 – April 1995,NA,"Hazaribagh, India",Five wolf packs were thought to be responsible for the attacks.,NA,child,NA,India
Unknown,1995,Predatory,"Karelia, Russia",A fatal attack[further explanation needed] prompted a major hunt on wolves.,Unknown,NA,NA,Russia
"Unknown, adult, female",1993,Predatory,"40 km from Tasmurinsky State Hunting Area, north of Almaty, Kazakhstan",Killed and partially eaten.[further explanation needed],Unknown,NA,NA,Kazakhstan
"Unknown, adult, female",1993,Predatory,"40 km from Tasmurinsky State Hunting Area, north of Almaty, Kazakhstan",Killed and partially eaten.[further explanation needed],adult,adult,NA,Kazakhstan
"Unknown, adult, female",1993,Predatory,"40 km from Tasmurinsky State Hunting Area, north of Almaty, Kazakhstan",Killed and partially eaten.[further explanation needed],female,NA,female,Kazakhstan
"Alyshia Berczyk, 3, female","June 3, 1989",Captive,"Forest Lake, Minnesota, US","A captive wolf slammed a girl into the ground, causing fatal liver damage.",Alyshia Berczyk,NA,NA,US
"Alyshia Berczyk, 3, female","June 3, 1989",Captive,"Forest Lake, Minnesota, US","A captive wolf slammed a girl into the ground, causing fatal liver damage.",NA,NA,NA,US
"Alyshia Berczyk, 3, female","June 3, 1989",Captive,"Forest Lake, Minnesota, US","A captive wolf slammed a girl into the ground, causing fatal liver damage.",female,NA,female,US
17 children,Late 1985 – January 1986,Predatory,"Ashta, India","A pack of four wolves were believed responsible for attacks on 17 children, and were killed by hunters and forest officials.",NA,child,NA,India
"Unknown, adult, female",June 1982,Possibly rabid,"Dubrova, Belarus","A wolf was believed responsible for an attack on a woman and previous attacks on people and livestock in three villages, and was killed by hunters.",Unknown,NA,NA,Belarus
"Unknown, adult, female",June 1982,Possibly rabid,"Dubrova, Belarus","A wolf was believed responsible for an attack on a woman and previous attacks on people and livestock in three villages, and was killed by hunters.",adult,adult,NA,Belarus
"Unknown, adult, female",June 1982,Possibly rabid,"Dubrova, Belarus","A wolf was believed responsible for an attack on a woman and previous attacks on people and livestock in three villages, and was killed by hunters.",female,NA,female,Belarus
"Vera Khrapovitskaya, 23, femaleSeruk Maria, 58, female","November 10, 1980",Rabid,"Piskuni, Postavsky district, Russia","A wolf fatally mauled a woman who was defending her geese, and fatally injured a woman and injured a man who tried to intervene, before being killed by a crowd.",Vera Khrapovitskaya,NA,NA,Russia
"Vera Khrapovitskaya, 23, femaleSeruk Maria, 58, female","November 10, 1980",Rabid,"Piskuni, Postavsky district, Russia","A wolf fatally mauled a woman who was defending her geese, and fatally injured a woman and injured a man who tried to intervene, before being killed by a crowd.",NA,NA,NA,Russia
"Vera Khrapovitskaya, 23, femaleSeruk Maria, 58, female","November 10, 1980",Rabid,"Piskuni, Postavsky district, Russia","A wolf fatally mauled a woman who was defending her geese, and fatally injured a woman and injured a man who tried to intervene, before being killed by a crowd.",female,NA,female,Russia
"Vera Khrapovitskaya, 23, femaleSeruk Maria, 58, female","November 10, 1980",Rabid,"Piskuni, Postavsky district, Russia","A wolf fatally mauled a woman who was defending her geese, and fatally injured a woman and injured a man who tried to intervene, before being killed by a crowd.",Seruk Maria,NA,NA,Russia
"Vera Khrapovitskaya, 23, femaleSeruk Maria, 58, female","November 10, 1980",Rabid,"Piskuni, Postavsky district, Russia","A wolf fatally mauled a woman who was defending her geese, and fatally injured a woman and injured a man who tried to intervene, before being killed by a crowd.",NA,NA,NA,Russia
"Vera Khrapovitskaya, 23, femaleSeruk Maria, 58, female","November 10, 1980",Rabid,"Piskuni, Postavsky district, Russia","A wolf fatally mauled a woman who was defending her geese, and fatally injured a woman and injured a man who tried to intervene, before being killed by a crowd.",female,NA,female,Russia
"Unknown, elderly, female",1980,Rabid,Estonia,NA,Unknown,NA,NA,Estonia
"Unknown, elderly, female",1980,Rabid,Estonia,NA,elderly,NA,NA,Estonia
"Unknown, elderly, female",1980,Rabid,Estonia,NA,female,NA,female,Estonia
"Unknown, adult, female",August 1979,Rabid,"Sinezerka, Bryansk Oblast, Russia",A wolf bit a woman and attacked four other adults and a child.,Unknown,NA,NA,Russia
"Unknown, adult, female",August 1979,Rabid,"Sinezerka, Bryansk Oblast, Russia",A wolf bit a woman and attacked four other adults and a child.,adult,adult,NA,Russia
"Unknown, adult, female",August 1979,Rabid,"Sinezerka, Bryansk Oblast, Russia",A wolf bit a woman and attacked four other adults and a child.,female,NA,female,Russia
"Unknown, 7, male","August 13, 1977",Predatory,"Delmenhorst, Germany","A wolf escaped during transport to an animal park. After four days, the hungry animal attacked a boy.",Unknown,NA,NA,Germany
"Unknown, 7, male","August 13, 1977",Predatory,"Delmenhorst, Germany","A wolf escaped during transport to an animal park. After four days, the hungry animal attacked a boy.",NA,NA,NA,Germany
"Unknown, 7, male","August 13, 1977",Predatory,"Delmenhorst, Germany","A wolf escaped during transport to an animal park. After four days, the hungry animal attacked a boy.",male,NA,male,Germany
"Javier Iglesias Balbin, 3, male","July 10, 1974",Predatory,"Rante, Spain","A wolf carried off a boy, whose body was found in a nearby woodland. The wolf was killed with poison four days later, and was found to have a den with two pups, and a severe parasite infestation.",Javier Iglesias Balbin,NA,NA,Spain
"Javier Iglesias Balbin, 3, male","July 10, 1974",Predatory,"Rante, Spain","A wolf carried off a boy, whose body was found in a nearby woodland. The wolf was killed with poison four days later, and was found to have a den with two pups, and a severe parasite infestation.",NA,NA,NA,Spain
"Javier Iglesias Balbin, 3, male","July 10, 1974",Predatory,"Rante, Spain","A wolf carried off a boy, whose body was found in a nearby woodland. The wolf was killed with poison four days later, and was found to have a den with two pups, and a severe parasite infestation.",male,NA,male,Spain
"Unknown, 77, female","May 23, 1974",Rabid,"Arkadak, Saratov, Russia",A wolf fatally injured a woman and injured nine other people.,Unknown,NA,NA,Russia
"Unknown, 77, female","May 23, 1974",Rabid,"Arkadak, Saratov, Russia",A wolf fatally injured a woman and injured nine other people.,NA,NA,NA,Russia
"Unknown, 77, female","May 23, 1974",Rabid,"Arkadak, Saratov, Russia",A wolf fatally injured a woman and injured nine other people.,female,NA,female,Russia
18 men,Autumn 1971,Rabid,"Hindu Kush, Afghanistan",All 18 victims were attacked while guarding crops.[further explanation needed],NA,NA,NA,Afghanistan
"Unknown, adult, female",1961,Rabid,Slovakia,NA,Unknown,NA,NA,Slovakia
"Unknown, adult, female",1961,Rabid,Slovakia,NA,adult,adult,NA,Slovakia
"Unknown, adult, female",1961,Rabid,Slovakia,NA,female,NA,female,Slovakia
"Manuel Sar Pazos, 4, male","June 21, 1959",Predatory,"Tines village, Castrelo, Spain","A wolf bit a boy then chased his playmate, before being chased away by rescuers. Two wolves were subsequently killed.",Manuel Sar Pazos,NA,NA,Spain
"Manuel Sar Pazos, 4, male","June 21, 1959",Predatory,"Tines village, Castrelo, Spain","A wolf bit a boy then chased his playmate, before being chased away by rescuers. Two wolves were subsequently killed.",NA,NA,NA,Spain
"Manuel Sar Pazos, 4, male","June 21, 1959",Predatory,"Tines village, Castrelo, Spain","A wolf bit a boy then chased his playmate, before being chased away by rescuers. Two wolves were subsequently killed.",male,NA,male,Spain
"Luis Vasquez Perez, 5, male","June 25, 1957",Predatory,"Vilare village, Castrelo, Spain","A wolf attacked and killed a boy on a road, then chased a boy before being chased by adults.",Luis Vasquez Perez,NA,NA,Spain
"Luis Vasquez Perez, 5, male","June 25, 1957",Predatory,"Vilare village, Castrelo, Spain","A wolf attacked and killed a boy on a road, then chased a boy before being chased by adults.",NA,NA,NA,Spain
"Luis Vasquez Perez, 5, male","June 25, 1957",Predatory,"Vilare village, Castrelo, Spain","A wolf attacked and killed a boy on a road, then chased a boy before being chased by adults.",male,NA,male,Spain
"Unknown, adult, male",1956,Predatory,Italy,Wolves killed and ate a postman outside of Rome.,Unknown,NA,NA,Italy
"Unknown, adult, male",1956,Predatory,Italy,Wolves killed and ate a postman outside of Rome.,adult,adult,NA,Italy
"Unknown, adult, male",1956,Predatory,Italy,Wolves killed and ate a postman outside of Rome.,male,NA,male,Italy
"Lidia Tupitsyna, 6, female","April 12, 1952",Predatory,"Orichevsky District, Kirov Oblast, Russia",A wolf carried away a girl who was picking berries.,Lidia Tupitsyna,NA,NA,Russia
"Lidia Tupitsyna, 6, female","April 12, 1952",Predatory,"Orichevsky District, Kirov Oblast, Russia",A wolf carried away a girl who was picking berries.,NA,NA,NA,Russia
"Lidia Tupitsyna, 6, female","April 12, 1952",Predatory,"Orichevsky District, Kirov Oblast, Russia",A wolf carried away a girl who was picking berries.,female,NA,female,Russia
Four children,1951–1953,Predatory,"Oritji, Kirov Oblast, Russia",NA,Four children,child,NA,Russia
"Unknown, 10, female","April 29, 1951",Predatory,"Tarasovok, Orichevsky District, Kirov Oblast, Russia",A wolf killed a girl who was bathing with a friend in a creek.,Unknown,NA,NA,Russia
"Unknown, 10, female","April 29, 1951",Predatory,"Tarasovok, Orichevsky District, Kirov Oblast, Russia",A wolf killed a girl who was bathing with a friend in a creek.,NA,NA,NA,Russia
